strategy,budget_consumed,simple_regret_mean,ci95_low,ci95_high,n_runs
uniform,2995456,3.7207740751026126,0.6506235141393273,6.790924636065897,18
uniform,3028224,3.9806125932097145,0.6898180154782366,7.271407170941192,18
uniform,3060992,3.7779971855554573,0.6067226091103528,6.94927176200056,18
uniform,3093760,4.055687200222162,0.9777763203808487,7.133598080063474,18
uniform,3126528,3.0956345423555183,0.1093157955112502,6.081953289199785,18
uniform,3159296,2.80701035504294,-0.2661445551125459,5.880165265198425,18
uniform,3192064,2.359761768581319,-0.6095157473788286,5.329039284541466,18
uniform,3224832,2.050671875963605,-0.8770444118053169,4.978388163732527,18
uniform,3257600,1.2941068292818654,-1.181041476560091,3.7692551351238217,18
uniform,3290368,1.0379455790506,-1.2562819773931393,3.3321731354943394,18
uniform,3323136,1.150174754837766,-1.2144292733868176,3.51477878306235,18
uniform,3355904,1.7604752232730285,-0.5738070184751453,4.0947574650212015,18
uniform,3388672,1.7207295784082608,-0.6922423381493228,4.133701494965844,18
uniform,3421440,1.4628081174153253,-0.9823380799848561,3.9079543148155067,18
uniform,3454208,1.4710182037825272,-1.1239724140047933,4.066008821569848,18
uniform,3486976,1.7396479593065526,-0.869296341237424,4.348592259850529,18
ocba,1520896,21.677777777777774,18.07686709009297,25.278688465462576,18
ocba,1553664,21.707407407407402,17.976408681860633,25.43840613295417,18
ocba,1586432,20.20518518518518,16.18719203893091,24.22317833143945,18
ocba,1619200,17.879407407407403,13.519183544453433,22.23963127036137,18
ocba,1651968,16.852829629629625,12.486928515317702,21.21873074394155,18
ocba,1684736,14.156882962962957,9.53737449659422,18.776391429331696,18
ocba,1717504,12.296351999999995,8.084813839398779,16.507890160601214,18
ocba,1750272,11.031144533333329,6.547085300486733,15.515203766179928,18
ocba,1783040,9.694983016296291,5.461532196808152,13.928433835784436,18
ocba,1815808,8.587360180148144,5.035113534694348,12.139606825601941,18
ocba,1848576,6.823527219199995,3.7442725464431463,9.902781891956845,18
ocba,1881344,6.551894109297773,3.22447157560187,9.879316642993679,18
ocba,1914112,6.1029883174305155,2.795838386024898,9.410138248836134,18
ocba,1946880,6.286978175643494,3.0391533027978994,9.534803048489088,18
ocba,1979648,6.564779497978688,3.387468672911794,9.742090323045582,18
ocba,2012416,6.4433121432316565,2.985131713724961,9.901492572738352,18
ocba,2045184,6.570431730383438,3.041459616144355,10.09940384462252,18
ocba,2077952,5.885222001193024,2.436411237467136,9.334032764918913,18
ocba,2110720,5.17705912664174,2.12639586293208,8.2277223903514,18
ocba,2143488,4.41290214265171,1.2715096262742533,7.554294659029167,18
ocba,2176256,5.261074618924358,2.3773729795251812,8.144776258323535,18
ocba,2209024,4.8107188454286876,2.0563009546085125,7.5651367362488635,18
ocba,2241792,5.259764640590544,2.13465265791314,8.38487662326795,18
ocba,2274560,4.925488413983954,1.702601562301664,8.148375265666246,18
ocba,2307328,4.277515270612594,1.211489987202916,7.3435405540222725,18
ocba,2340096,4.776879532737926,1.6021311246561847,7.951627940819667,18
ocba,2372864,4.7594610529760875,1.4409280166046412,8.077994089347534,18
ocba,2405632,4.286047002156023,1.262192404489351,7.309901599822693,18
ocba,2438400,3.9738504235158345,1.2505686570850887,6.697132189946579,18
ocba,2471168,3.3880139578132034,0.8249616015257532,5.951066314100652,18
ocba,2503936,3.0891046709842174,0.7986503511953715,5.379558990773062,18
ocba,2536704,3.3104998396275667,0.7631025721985685,5.857897107056564,18
ocba,2569472,3.743336940813575,1.083488203919038,6.4031856777081115,18
ocba,2602240,4.315631794117774,1.4717539548014118,7.159509633434135,18
ocba,2635008,3.804193891285478,0.8877512435669643,6.7206365390039915,18
ocba,2667776,3.1239978162527677,0.432644773362242,5.815350859143293,18
ocba,2700544,3.1862505416035116,0.7472175251216311,5.625283558085393,18
ocba,2733312,2.517676250888032,0.02317101823522899,5.012181483540835,18
ocba,2766080,2.070605750532818,-0.23852509100731747,4.379736592072954,18
ocba,2798848,2.431252339208578,0.1196272271568927,4.742877451260263,18
ocba,2831616,2.6209736257473675,0.26936403033705625,4.972583221157678,18
ocba,2864384,2.4859175087817524,0.07685846470891669,4.8949765528545885,18
ocba,2897152,2.597476431194976,0.16910929631044708,5.025843566079505,18
ocba,2929920,2.9058932661243917,0.7111630548627865,5.100623477385997,18
ocba,2962688,3.460572996711671,1.1354403753766917,5.78570561804665,18
ocba,2995456,3.8200475017307047,1.3414695867736186,6.298625416687792,18
ocba,3028224,3.2201766491865698,1.0553190933158707,5.385034205057269,18
ocba,3060992,2.9632171006230514,0.42596870672782317,5.500465494518281,18
ocba,3093760,3.043856186299756,0.7081172156565865,5.379595156942926,18
ocba,3126528,2.335943341409482,0.1282035438613109,4.543683138957654,18
ocba,3159296,1.907491930771614,-0.015171553228041104,3.83015541477127,18
ocba,3192064,3.0400507140185216,0.8307108367859927,5.249390591251052,18
ocba,3224832,2.442548946929631,0.48653588806503956,4.398562005794223,18
ocba,3257600,3.126270108898518,1.0275525455918444,5.224987672205192,18
ocba,3290368,3.3009472505242945,1.1252537366491222,5.476640764399466,18
ocba,3323136,2.619827609573835,0.6178830886699098,4.621772130477759,18
ocba,3355904,2.6518965657443,0.6584101911800849,4.645382940308515,18
ocba,3388672,2.402249050557691,0.4838352876049308,4.320662813510451,18
ocba,3421440,1.896164245149428,-0.3148720326449948,4.107200522943851,18
ocba,3454208,2.700661510052619,0.2595149269427131,5.141808093162524,18
ocba,3486976,2.8003969060315703,0.16997125891358975,5.43082255314955,18
