strategy,delta,budget_consumed,success_prob_mean,ci95_low,ci95_high,n_runs
uniform,8.158431221748456,2536704,0.4214130721762096,0.19220994508068784,0.6512314276656034,18
uniform,8.158431221748456,2569472,0.47507006552794795,0.24306292319850914,0.70744634489371,18
uniform,8.158431221748456,2602240,0.5294864837612132,0.29758545867820074,0.7616089910660198,18
uniform,8.158431221748456,2635008,0.5843585569233946,0.35558134803910246,0.8132686551407631,18
uniform,8.158431221748456,2667776,0.6172818008207034,0.3903788816556435,0.8442644535856092,18
uniform,8.158431221748456,2700544,0.6370357471590886,0.41125740182556814,0.8628619326525169,18
uniform,8.158431221748456,2733312,0.6933325594065642,0.47881350698746805,0.9078803159216052,18
uniform,8.158431221748456,2766080,0.7271106467550497,0.519347170084608,0.9348913458830582,18
uniform,8.158431221748456,2798848,0.7695997213863632,0.5740776858300038,0.960934807529835,18
uniform,8.158431221748456,2831616,0.7728709439429291,0.5765056773901295,0.9667240408479961,18
uniform,8.158431221748456,2864384,0.7970558996990909,0.6083727902133167,0.9800344245087976,18
uniform,8.158431221748456,2897152,0.7893446509305656,0.5970827400201172,0.9781838110353737,18
uniform,8.158431221748456,2929920,0.8069401238916727,0.6207190277913093,0.9869102866212242,18
uniform,8.158431221748456,2962688,0.817497407668337,0.6349008004540246,0.9921461719727345,18
uniform,8.158431221748456,2995456,0.8460540001565577,0.6767383066049806,0.9952877031836407,18
uniform,8.158431221748456,3028224,0.7965212889828235,0.6097640049521503,0.9712293786988002,18
uniform,8.158431221748456,3060992,0.8112461067230274,0.6283277867505292,0.9827376272192802,18
uniform,8.158431221748456,3093760,0.7978587751449275,0.6090557379424447,0.9798057326616632,18
uniform,8.158431221748456,3126528,0.7898263761980676,0.597492508657594,0.978046595927093,18
uniform,8.158431221748456,3159296,0.8072291590521739,0.6209648889737953,0.9868279575562557,18
uniform,8.158431221748456,3192064,0.862115273209082,0.7068011556064994,0.9920967745337534,18
uniform,8.158431221748456,3224832,0.8506024972587826,0.6865500771431385,0.995258064720252,18
uniform,8.158431221748456,3257600,0.8881392761330473,0.7461522685081052,0.9971548388321512,18
uniform,8.158431221748456,3290368,0.9106613434576062,0.7819135833270854,0.9982929032992907,18
uniform,8.158431221748456,3323136,0.9241745838523414,0.8033703722184734,0.9989757419795744,18
uniform,8.158431221748456,3355904,0.9322825280891825,0.8162444455533062,0.9993854451877446,18
uniform,8.158431221748456,3388672,0.9371472946312873,0.8239688895542059,0.9996312671126468,18
uniform,8.158431221748456,3421440,0.9400661545565502,0.8286035559547458,0.999778760267588,18
uniform,8.158431221748456,3454208,0.9195952482894856,0.7929599599054132,0.9998672561605528,18
uniform,8.158431221748456,3486976,0.9295349267514691,0.8099981981654701,0.9999203536963317,18
ocba,8.158431221748456,1520896,0.05555555555555555,0.0,0.16444444444444445,18
ocba,8.158431221748456,1553664,0.05555555555555555,0.0,0.16444444444444445,18
ocba,8.158431221748456,1586432,0.07777777777777778,0.0,0.20286884033410085,18
ocba,8.158431221748456,1619200,0.1577777777777778,0.025943243211384217,0.31800028321129853,18
ocba,8.158431221748456,1651968,0.18355555555555558,0.025402789596735434,0.358741104034652,18
ocba,8.158431221748456,1684736,0.2879111111111111,0.09853418546369325,0.48750770627069473,18
ocba,8.158431221748456,1717504,0.4171911111111111,0.21086821603731123,0.6296458078922105,18
ocba,8.158431221748456,1750272,0.4725368888888889,0.2542578857724832,0.6944949730296743,18
ocba,8.158431221748456,1783040,0.5279665777777778,0.3043024362225852,0.7538381679475983,18
ocba,8.158431221748456,1815808,0.5834466133333334,0.35961153456573314,0.8086061612697102,18
ocba,8.158431221748456,1848576,0.6389568568888889,0.4194879417286018,0.859220453550442,18
ocba,8.158431221748456,1881344,0.6944852252444444,0.48375183092928825,0.9056954284603603,18
ocba,8.158431221748456,1914112,0.7278022462577778,0.5223101644497001,0.9335804134063113,18
ocba,8.158431221748456,1946880,0.7255702366435556,0.517107119658982,0.9342050048324025,18
ocba,8.158431221748456,1979648,0.6797865864305779,0.4620119765544845,0.8976641870292351,18
ocba,8.158431221748456,2012416,0.6745386185250134,0.45423725876487275,0.8949017727186923,18
ocba,8.158431221748456,2045184,0.6713898377816747,0.44957242809110565,0.8932443241323667,18
ocba,8.158431221748456,2077952,0.6917227915578937,0.4734644778438254,0.9100033512680358,18
ocba,8.158431221748456,2110720,0.6817003416014029,0.4611087595384773,0.9023052712619728,18
ocba,8.158431221748456,2143488,0.7201313160719529,0.5087243216152135,0.9315463190872788,18
ocba,8.158431221748456,2176256,0.6765232340876162,0.45698229772822335,0.8960689755821609,18
ocba,8.158431221748456,2209024,0.6948028293414585,0.47791039962609594,0.9116981421379123,18
ocba,8.158431221748456,2241792,0.705770586493764,0.4904672607648195,0.9210756420713632,18
ocba,8.158431221748456,2274560,0.7345734630073695,0.5263394223510188,0.942808541572913,18
ocba,8.158431221748456,2307328,0.7740774111377551,0.5782730371898503,0.9656851249437478,18
ocba,8.158431221748456,2340096,0.7977797800159864,0.6094332060931492,0.9794110749662487,18
ocba,8.158431221748456,2372864,0.7675567568984807,0.5693809446450515,0.961703401768365,18
ocba,8.158431221748456,2405632,0.7938673874724218,0.6040979505662699,0.977022041061019,18
ocba,8.158431221748456,2438400,0.8318759880390086,0.6582565966723277,0.9862132246366114,18
ocba,8.158431221748456,2471168,0.8324589261567386,0.6574233417826356,0.9917279347819669,18
ocba,8.158431221748456,2503936,0.8550309112495986,0.6902518314021471,0.9950367608691801,18
ocba,8.158431221748456,2536704,0.8241296578608702,0.6462101647334154,0.9871852128516032,18
ocba,8.158431221748456,2569472,0.7611444613831888,0.5647561716722312,0.9486143882121132,18
ocba,8.158431221748456,2602240,0.72335334349658,0.5158837758355208,0.9254718934284192,18
ocba,8.158431221748456,2635008,0.7673453394312814,0.5719996492805515,0.9552831360570515,18
ocba,8.158431221748456,2667776,0.7937405369921022,0.6056691733475699,0.9731698816342309,18
ocba,8.158431221748456,2700544,0.8317998777508169,0.6591993303411077,0.9839019289805385,18
ocba,8.158431221748456,2733312,0.8546354822060457,0.6913174245372304,0.9903411573883231,18
ocba,8.158431221748456,2766080,0.8461146226569608,0.6772598385015773,0.9942046944329939,18
ocba,8.158431221748456,2798848,0.8632243291497321,0.7021537294335122,0.9965228166597964,18
ocba,8.158431221748456,2831616,0.8512679308231726,0.6837616214393463,0.9979136899958778,18
ocba,8.158431221748456,2864384,0.8440940918272369,0.6727263566428467,0.9987482139975267,18
ocba,8.158431221748456,2897152,0.8397897884296756,0.666105197764947,0.999248928398516,18
ocba,8.158431221748456,2929920,0.8594294286133608,0.695460944991534,0.9995493570391096,18
ocba,8.158431221748456,2962688,0.8267687682791276,0.6493356328870475,0.9898927705535608,18
ocba,8.158431221748456,2995456,0.7627279276341432,0.5666314525644106,0.9502389228332877,18
ocba,8.158431221748456,3028224,0.8131923121360415,0.6357766978712122,0.9701433536999726,18
ocba,8.158431221748456,3060992,0.799026498392736,0.6135250846148544,0.9722491685500787,18
ocba,8.158431221748456,3093760,0.8127492323689749,0.6305844345481517,0.9833495011300473,18
ocba,8.158431221748456,3126528,0.8654273171991627,0.7125728829511132,0.9900097006780284,18
ocba,8.158431221748456,3159296,0.8970341680972753,0.7617659519928901,0.9940058204068171,18
ocba,8.158431221748456,3192064,0.8493316119694763,0.6891186370878613,0.9865666485741853,18
ocba,8.158431221748456,3224832,0.8651545227372412,0.7092690085852825,0.9919399891445112,18
ocba,8.158431221748456,3257600,0.8746482691979003,0.7213592314837354,0.9951639934867067,18
ocba,8.158431221748456,3290368,0.8803445170742956,0.7286133652228071,0.997098396092024,18
ocba,8.158431221748456,3323136,0.9282067102445773,0.8371680191336843,0.9982590376552144,18
ocba,8.158431221748456,3355904,0.9124795817023019,0.7980986378127763,0.9989554225931286,18
ocba,8.158431221748456,3388672,0.9474877490213811,0.8788591826876658,0.9993732535558771,18
ocba,8.158431221748456,3421440,0.9240482049683842,0.8231133359451652,0.9996239521335263,18
ocba,8.158431221748456,3454208,0.8210955896476972,0.6708980743992812,0.9560776317812671,18
ocba,8.158431221748456,3486976,0.8259906871219517,0.6650082284188077,0.9736465790687603,18
