strategy,added_budget,simple_regret_mean,ci95_low,ci95_high,n_runs
uniform,1867776,6.25201751669159,3.6185877592274904,8.88544727415569,16
uniform,1900544,5.876210510014952,2.8844267093063967,8.867994310723507,16
uniform,1933312,5.854892972675637,2.961194643610174,8.748591301741099,16
uniform,1966080,5.180435783605381,2.3609161228980344,7.999955444312727,16
uniform,1998848,4.7599281368298945,2.2719144942301672,7.247941779429621,16
uniform,2031616,4.372623548764603,1.7184675051504235,7.026779592378782,16
uniform,2064384,2.844407462592094,0.3688676112588003,5.319947313925387,16
uniform,2097152,3.4633111442219224,1.1775450186061243,5.749077269837721,16
uniform,2129920,3.134653353199819,0.8788608944825197,5.390445811917118,16
uniform,2162688,2.4624586785865574,0.14911260852851355,4.775804748644601,16
uniform,2195456,2.0074752071519324,0.03546162400069969,3.979488790303165,16
ocba,720896,9.629166666666663,3.70704182668141,15.551291506651916,16
ocba,753664,8.974166666666664,3.6560377965418334,14.292295536791494,16
ocba,786432,8.959499999999998,3.9896276824915042,13.929372317508491,16
ocba,819200,8.082366666666665,3.836400569897551,12.328332763435778,16
ocba,851968,7.888586666666665,3.9468247630390536,11.830348570294275,16
ocba,884736,6.8298186666666645,3.3462912395158515,10.313346093817476,16
ocba,917504,4.942891199999998,1.703589143639875,8.182193256360119,16
ocba,950272,6.070734719999999,2.7022219033689097,9.439247536631086,16
ocba,983040,5.695774165333331,2.28048722761972,9.111061103046943,16
ocba,1015808,4.683297832533331,1.4522423141578242,7.914353350908837,16
ocba,1048576,5.1033120328533315,1.9457447691312306,8.260879296575432,16
ocba,1081344,3.370320553045331,0.8110952667223553,5.9295458393683065,16
ocba,1114112,3.806358998493864,1.1584208587135736,6.454297138274153,16
ocba,1146880,5.076315399096318,1.8281939371647418,8.324436861027891,16
ocba,1179648,4.87078923945779,1.879530246163795,7.862048232751783,16
ocba,1212416,4.118306877008005,1.143841273584222,7.092772480431788,16
ocba,1245184,4.690150792871469,1.0834732967570897,8.296828288985846,16
ocba,1277952,4.29409047572288,1.315313307842667,7.272867643603092,16
ocba,1310720,3.5806209521003938,0.969564723862426,6.19167718033836,16
ocba,1343488,3.895872571260235,0.9226166309390782,6.8691285115813905,16
ocba,1376256,4.440856876089474,1.4654279737208356,7.4162857784581115,16
ocba,1409024,4.7670141256536835,1.7737278007992328,7.760300450508134,16
ocba,1441792,4.7060418087255425,1.594892068635307,7.817191548815776,16
ocba,1474560,4.234458418568657,1.1965568054795874,7.272360031657726,16
ocba,1507328,4.154008384474526,1.1877636071082476,7.120253161840804,16
ocba,1540096,4.7815716973513815,1.7649243848942593,7.798219009808503,16
ocba,1572864,5.397276351744161,2.1886726008426107,8.605880102645711,16
ocba,1605632,5.289199144379829,1.8000414624019794,8.77835682635768,16
ocba,1638400,5.73935281996123,2.2745491162174925,9.204156523704969,16
ocba,1671168,4.948611691976737,1.8447943875586201,8.052428996394854,16
ocba,1703936,3.890000348519374,1.4254964735783564,6.354504223460392,16
ocba,1736704,4.074833542444956,1.665216517684336,6.484450567205577,16
ocba,1769472,3.6374001254669728,1.1696501419118124,6.105150109022134,16
ocba,1802240,3.252440075280182,0.7095108020678856,5.795369348492478,16
ocba,1835008,3.327297378501441,0.7954341457624743,5.859160611240409,16
ocba,1867776,3.5580450937675296,0.8035433826527849,6.312546804882276,16
ocba,1900544,4.134827056260517,1.4344569169986334,6.835197195522401,16
