strategy,delta,added_budget,success_prob_mean,ci95_low,ci95_high,n_runs
uniform,8.158431221748456,1933312,0.6615221736743007,0.4260658842094328,0.8969785858400637,16
uniform,8.158431221748456,1966080,0.7219133042045804,0.501629404592334,0.9381871515040382,16
uniform,8.158431221748456,1998848,0.7581479825227483,0.5469675168220746,0.9629122909024229,16
uniform,8.158431221748456,2031616,0.829888789513649,0.6541805100932447,0.9777473745414538,16
uniform,8.158431221748456,2064384,0.8729332737081894,0.7185083060559468,0.9866484247248722,16
uniform,8.158431221748456,2097152,0.8737599642249136,0.7141582386292987,0.9919890548349234,16
uniform,8.158431221748456,2129920,0.8742559785349482,0.7115481981733098,0.9951934329009541,16
uniform,8.158431221748456,2162688,0.8745535871209689,0.7099821738997165,0.9971160597405725,16
uniform,8.158431221748456,2195456,0.9247321522725813,0.8259893043398299,0.9982696358443435,16
ocba,8.158431221748456,720896,0.5625,0.3114497062339898,0.8135502937660102,16
ocba,8.158431221748456,753664,0.5874999999999999,0.33886982374039387,0.8361301762596061,16
ocba,8.158431221748456,786432,0.5774999999999999,0.3279017767378323,0.8270982232621678,16
ocba,8.158431221748456,819200,0.5714999999999999,0.3213209485362953,0.8216790514637047,16
ocba,8.158431221748456,851968,0.6429,0.4051387044037854,0.8806612955962145,16
ocba,8.158431221748456,884736,0.6607400000000001,0.4242553660821501,0.8972246339178499,16
ocba,8.158431221748456,917504,0.7214440000000001,0.5005430937159643,0.9383347803507099,16
ocba,8.158431221748456,950272,0.7328664,0.5126719915115868,0.9506547329284177,16
ocba,8.158431221748456,983040,0.7147198400000001,0.48877533834683096,0.9392206963171718,16
ocba,8.158431221748456,1015808,0.7538319040000001,0.5392550770747728,0.9635324177903031,16
ocba,8.158431221748456,1048576,0.7272991424,0.5047251896847426,0.946947307234303,16
ocba,8.158431221748456,1081344,0.83637948544,0.7028351138108455,0.9681683843405818,16
ocba,8.158431221748456,1114112,0.801827691264,0.6340472035685155,0.9685548953223408,16
ocba,8.158431221748456,1146880,0.7060966147584,0.5050082046347052,0.9065530546998086,16
ocba,8.158431221748456,1179648,0.72365796885504,0.5153510580628313,0.9315856975378769,16
ocba,8.158431221748456,1212416,0.809194781313024,0.6352106348376988,0.9589514185227261,16
ocba,8.158431221748456,1245184,0.7605168687878144,0.562298524342498,0.9441987076737568,16
ocba,8.158431221748456,1277952,0.7813101212726887,0.583368988672173,0.9665192246042541,16
ocba,8.158431221748456,1310720,0.8187860727636133,0.6330746481990344,0.9799115347625524,16
ocba,8.158431221748456,1343488,0.7912716436581679,0.5921909242014288,0.9756007855755232,16
ocba,8.158431221748456,1376256,0.7497629861949008,0.5364866979607361,0.9541883279054351,16
ocba,8.158431221748456,1409024,0.7248577917169405,0.5030641622163206,0.9413408533033822,16
ocba,8.158431221748456,1441792,0.7099146750301644,0.4830106407696712,0.9336323685421505,16
ocba,8.158431221748456,1474560,0.7259488050180987,0.502152519743811,0.9478332858432821,16
ocba,8.158431221748456,1507328,0.7855692830108592,0.5843447668420172,0.9686999715059692,16
ocba,8.158431221748456,1540096,0.6963415698065155,0.4751867425988062,0.9066401004099855,16
ocba,8.158431221748456,1572864,0.6678049418839094,0.43711204555928374,0.8919840602459914,16
ocba,8.158431221748456,1605632,0.7006829651303457,0.47461336261757847,0.9228443008655867,16
ocba,8.158431221748456,1638400,0.6954097790782074,0.46594016101042596,0.9225344370794731,16
ocba,8.158431221748456,1671168,0.7172458674469244,0.4919102318882638,0.9411745269656756,16
ocba,8.158431221748456,1703936,0.8303475204681547,0.6951461391329583,0.9647047161794053,16
ocba,8.158431221748456,1736704,0.7982085122808928,0.6294338187617832,0.966476694425635,16
ocba,8.158431221748456,1769472,0.8289251073685358,0.6607135462528005,0.979886016655381,16
ocba,8.158431221748456,1802240,0.8473550644211214,0.6794813827474109,0.9879316099932286,16
ocba,8.158431221748456,1835008,0.7834130386526729,0.5888609730883254,0.9615868225560583,16
ocba,8.158431221748456,1867776,0.7700478231916037,0.5656627191350034,0.9646059582516268,16
ocba,8.158431221748456,1900544,0.7120286939149623,0.4913976314810021,0.9267635749509762,16
ocba,8.158431221748456,1933312,0.7772172163489774,0.5778918338843319,0.9560581449705857,16
ocba,8.158431221748456,1966080,0.7413303298093865,0.5279072437704779,0.9424627435424726,16
ocba,8.158431221748456,1998848,0.7697981978856319,0.5627342203289609,0.9654776461254836,16
ocba,8.158431221748456,2031616,0.7868789187313792,0.5836304062640507,0.9792865876752902,16
ocba,8.158431221748456,2064384,0.8221273512388275,0.6332314987541611,0.9875719526051742,16
ocba,8.158431221748456,2097152,0.8682764107432965,0.7059388992524966,0.9925431715631045,16
ocba,8.158431221748456,2129920,0.870965846445978,0.7066165945472287,0.9955259029378627,16
ocba,8.158431221748456,2162688,0.8475795078675867,0.6699598307950114,0.9973155417627176,16
ocba,8.158431221748456,2195456,0.883547704720552,0.7279758984770068,0.9983893250576306,16
adapted_ocba,8.158431221748456,720896,0.125,0.0,0.29236686251067345,16
adapted_ocba,8.158431221748456,753664,0.15000000000000002,0.0,0.3294302434397299,16
adapted_ocba,8.158431221748456,786432,0.19,0.012346135282008253,0.38531201078182964,16
adapted_ocba,8.158431221748456,819200,0.189,0.007407681169204951,0.3851973324024236,16
adapted_ocba,8.158431221748456,851968,0.2134,0.016790743983531226,0.4187722641594459,16
adapted_ocba,8.158431221748456,884736,0.25304,0.0412465898299976,0.4700912150557887,16
adapted_ocba,8.158431221748456,917504,0.27682399999999996,0.05592009733787742,0.5008825855935943,16
adapted_ocba,8.158431221748456,950272,0.3160944,0.08555205840272645,0.5485295513561566,16
adapted_ocba,8.158431221748456,983040,0.36465664,0.1259111175352318,0.604537848320098,16
adapted_ocba,8.158431221748456,1015808,0.46879398399999994,0.22754667052113908,0.7107227089920589,16
adapted_ocba,8.158431221748456,1048576,0.5062763903999999,0.2611078848062794,0.7518537429016394,16
